GeneID,Symbol,Experimental_Essentiality,FBA_Essentiality
An01g00100,G_An01g00100,1,0
An01g00200,G_An01g00200,1,0
An01g00780,G_An01g00780,1,0
An01g00850,G_An01g00850,0,0
An01g01320,G_An01g01320,1,0
An01g01520,G_An01g01520,0,1
An01g01530,G_An01g01530,0,0
An01g01540,G_An01g01540,1,0
An01g01550,G_An01g01550,0,0
An01g01560,G_An01g01560,0,0
An01g01590,G_An01g01590,0,1
An01g01620,G_An01g01620,1,0
An01g01820,G_An01g01820,0,0
An01g01830,G_An01g01830,1,0
An01g01870,G_An01g01870,0,0
An01g01920,G_An01g01920,0,0
An01g01960,G_An01g01960,0,0
An01g02000,G_An01g02000,1,0
An01g02080,G_An01g02080,1,0
An01g02200,G_An01g02200,1,1
An01g02340,G_An01g02340,1,0
An01g02740,G_An01g02740,0,0
An01g02810,G_An01g02810,1,1
An01g02900,G_An01g02900,1,1
An01g03000,G_An01g03000,0,0
An01g03030,G_An01g03030,0,0
An01g03040,G_An01g03040,1,0
An01g03160,G_An01g03160,1,1
An01g03300,G_An01g03300,1,0
An01g03340,G_An01g03340,0,0
An01g03350,G_An01g03350,1,1
An01g03460,G_An01g03460,1,1
An01g03480,G_An01g03480,1,0
An01g03550,G_An01g03550,1,0
An01g03580,G_An01g03580,1,1
An01g03650,G_An01g03650,1,0
An01g03740,G_An01g03740,0,1
An01g03790,G_An01g03790,0,0
An01g04210,G_An01g04210,1,1
An01g04240,G_An01g04240,1,1
An01g04250,G_An01g04250,1,0
An01g04260,G_An01g04260,1,0
An01g04380,G_An01g04380,1,1
An01g04450,G_An01g04450,1,0
An01g04630,G_An01g04630,1,1
An01g04690,G_An01g04690,1,0
An01g04710,G_An01g04710,1,1
An01g04740,G_An01g04740,1,1
An01g04880,G_An01g04880,0,0
An01g04930,G_An01g04930,1,1
An01g05040,G_An01g05040,1,0
An01g05050,G_An01g05050,0,0
An01g05150,G_An01g05150,1,0
An01g05160,G_An01g05160,0,0
An01g05360,G_An01g05360,1,0
An01g05630,G_An01g05630,1,0
An01g05670,G_An01g05670,0,0
An01g05740,G_An01g05740,0,1
An01g05820,G_An01g05820,0,0
An01g06110,G_An01g06110,1,1
An01g06120,G_An01g06120,1,1
An01g06150,G_An01g06150,1,1
An01g06180,G_An01g06180,1,1
An01g06560,G_An01g06560,1,1
An01g06620,G_An01g06620,0,0
An01g06830,G_An01g06830,0,1
An01g06970,G_An01g06970,1,1
An01g07000,G_An01g07000,1,1
An01g07070,G_An01g07070,0,1
An01g07130,G_An01g07130,1,0
An01g07250,G_An01g07250,1,1
An01g07260,G_An01g07260,1,1
An01g07300,G_An01g07300,1,1
An01g07430,G_An01g07430,1,0
An01g07510,G_An01g07510,1,0
An01g07910,G_An01g07910,0,1
An01g08010,G_An01g08010,1,0
An01g08090,G_An01g08090,1,1
An01g08110,G_An01g08110,1,0
An01g08430,G_An01g08430,1,0
An01g08490,G_An01g08490,1,0
An01g08500,G_An01g08500,0,0
An01g08540,G_An01g08540,0,0
An01g08570,G_An01g08570,1,1
An01g08610,G_An01g08610,0,0
An01g08640,G_An01g08640,1,0
An01g08690,G_An01g08690,0,0
An01g08800,G_An01g08800,1,1
An01g08820,G_An01g08820,0,1
An01g08950,G_An01g08950,1,1
An01g08960,G_An01g08960,1,0
An01g09220,G_An01g09220,1,0
An01g09250,G_An01g09250,1,1
An01g09260,G_An01g09260,1,0
An01g09270,G_An01g09270,1,0
An01g09290,G_An01g09290,1,0
An01g09480,G_An01g09480,1,1
An01g09500,G_An01g09500,1,0
An01g09750,G_An01g09750,1,0
An01g09770,G_An01g09770,0,0
An01g09810,G_An01g09810,0,1
An01g09930,G_An01g09930,0,0
An01g09960,G_An01g09960,0,0
